match_id;date;kickoff_time_utc;stage_id;venue_id;home_team_id;away_team_id;home_score;away_score;home_penalty_score;away_penalty_score;status;result_type;home_xg;away_xg;referee_id;player_of_the_match_id;capacidad_estadio_pct;clima
53;June 25, 2026;18:00:00;1;2;12;9;0;3;;;Completed;Regular;45;218;;215;85.4;
54;25-jun-26;18:00:00;1;10;10;11;4;2;;;Completed;Regular;235;112;15.0;236;80.9;Lluvia
55;25/06/2026;22:00:00;1;3;16;13;3;2;;;Completed;Regular;162;145;18.0;398;76.6;
56;2026-06-25T19:00:00Z;22:00:00;1;15;14;15;0;0;;;Completed;Regular;55;48;41.0;339;60.1;soleado
57;26.06.2026;18:00:00;1;9;20;17;2;1;;;Completed;Regular;128;155;23.0;514;63.7;lluvia 
58;Jun 26 2026;18:00:00;1;11;18;19;0;2;;;Completed;Regular;32;168;28.0;487;88.4;soleado
59;20260626;22:00:00;1;12;24;21;1;3;;;Completed;Regular;62;215;32.0;539;81.0;Soleado
60;26 de junio de 2026;22:00:00;1;16;22;23;1;1;;;Completed;Regular;112;95;8.0;557;130.5;Soleado
61;27/06/2026;18:00:00;1;4;28;25;1;5;;;Completed;Regular;48;325;31.0;634;98.2;
62;27/06/2026;18:00:00;1;8;26;27;1;1;;;Completed;Regular;85;92;6.0;699;87.3;Nublado
63;06-27-2026;22:00:00;1;13;32;29;0;1;;;Completed;Regular;78;135;40.0;743;;
64;27 June 2026;22:00:00;1;14;30;31;0;0;;;Completed;Regular;42;38;2.0;755;72.4;Nublado
65;June 26, 2026;18:00:00;1;10;36;33;1;4;;;Completed;Regular;13;96;17.0;839;83.7;Lluvia
66;26-jun-26;18:00:00;1;2;34;35;5;0;;;Completed;Regular;301;14;21.0;871;69.4;
67;27/06/2026;22:00:00;1;15;40;37;1;3;;;Completed;Regular;76;213;1.0;946;98.6;DESPEJADO
68;2026-06-27T19:00:00Z;22:00:00;1;3;38;39;3;3;;;Completed;Regular;162;144;13.0;969;97.8;Soleado
69;28.06.2026;18:00:00;1;13;44;41;0;0;;;Completed;Regular;162;73;20.0;1041;;lluvia 
70;Jun 28 2026;18:00:00;1;9;42;43;3;1;;;Completed;Regular;235;2;22.0;1086;78.9;
71;20260628;22:00:00;1;2;48;45;0;2;;;Completed;Regular;69;139;4.0;1154;93.7;Soleado
72;28 de junio de 2026;22:00:00;1;14;46;47;2;1;;;Completed;Regular;42;74;22.0;1187;65.2;Nublado
73;29/06/2026;12:00:00;2;3;2;5;0;1;;;Completed;Regular;13;132;26.0;111;72.3;Lluvia
74;29/06/2026;23:00:00;2;11;9;22;2;1;;;Completed;Regular;169;23;30.0;213;78.5;Nublado
75;06-30-2026;2:30:00;2;10;17;14;1;1;30.0;40.0;Completed;Penalties;72;42;24.0;350;89.7;Soleado
76;30 June 2026;7:00:00;2;8;21;10;1;1;20.0;30.0;Completed;Penalties;23;14;42.0;248;79.4;Lluvia
77;June 30, 2026;23:00:00;2;4;19;36;1;2;;;Completed;Regular;115;202;25.0;930;65.5;soleado
78;01-jul-26;3:00:00;2;2;33;23;3;0;;;Completed;Regular;317;67;11.0;842;73.7;Soleado
79;01/07/2026;7:00:00;2;1;1;20;2;0;;;Completed;Regular;102;73;39.0;16;73.0;Lluvia
80;2026-07-01T19:00:00Z;22:00:00;2;9;45;42;2;1;;;Completed;Regular;204;76;2.0;1153;72.0;lluvia 
81;02.07.2026;2:00:00;2;16;25;34;3;2;;;Completed;AET;174;358;35.0;632;66.6;Lluvia
82;Jul 02 2026;6:00:00;2;15;13;6;2;0;;;Completed;Regular;92;25;38.0;329;76.6;Lluvia
83;20260703;1:00:00;2;3;29;39;3;0;;;Completed;Regular;284;32;14.0;749;77.9;Nublado
84;3 de julio de 2026;5:00:00;2;6;41;46;2;1;;;Completed;Regular;218;134;18.0;1047;91.0;lluvia 
85;03/07/2026;9:00:00;2;5;8;38;2;0;;;Completed;Regular;252;73;43.0;189;91.9;Soleado
86;04/07/2026;0:00:00;2;4;15;26;1;1;20.0;40.0;Completed;Penalties;87;136;13.0;660;80.9;Nublado
87;07/04/2026;4:00:00;2;13;37;30;3;2;;;Completed;AET;216;46;8.0;946;78.4;Soleado
88;04 July 2026;7:30:00;2;12;44;47;1;0;;;Completed;Regular;219;26;19.0;1129;91.1;
89;July 04, 2026;21:00:00;3;14;14;33;0;1;;;Completed;Regular;3;18;8.0;350;95.5;lluvia 
90;04-jul-26;23:00:00;3;11;5;10;0;3;;;Completed;Regular;8;12;31.0;242;87.0;Lluvia
91;05/07/2026;20:00:00;3;4;9;36;1;2;;;Completed;Regular;261;105;21.0;919;92.0;Nublado
92;2026-07-06T19:00:00Z;1:00:00;3;1;1;45;2;3;;;Completed;Regular;188;161;4.0;1154;-15.0;Nublado
93;06.07.2026;19:00:00;3;13;41;29;0;1;;;Completed;Regular;63;169;6.0;734;61.6;DESPEJADO
94;Jul 07 2026;0:00:00;3;15;13;25;1;4;;;Completed;Regular;67;215;2.0;641;95.0;Nublado
95;20260707;16:00:00;3;12;37;26;3;2;;;Completed;Regular;212;154;17.0;946;71.1;Lluvia
96;7 de julio de 2026;20:00:00;3;16;8;44;0;0;40.0;30.0;Completed;Penalties;115;146;23.0;183;79.0;Nublado
97;09/07/2026;20:00:00;4;10;33;10;2;0;;;Completed;Regular;31;13;15.0;842;91.9;Soleado
98;10/07/2026;19:00:00;4;3;29;25;2;1;;;Completed;Regular;208;37;31.0;747;88.7;lluvia 
99;07/11/2026;21:00:00;4;13;36;45;1;2;;;Completed;AET;77;96;8.0;1154;65.9;lluvia 
100;12 July 2026;1:00:00;4;12;37;8;3;1;;;Completed;AET;20;53;26.0;945;;soleado
101;July 14, 2026;20:00:00;5;4;33;29;0;2;;;Completed;Regular;3;163;23.0;740;62.8;
102;15-jul-26;20:00:00;5;9;45;37;1;2;;;Completed;Regular;54;18;21.0;946;74.3;lluvia 
103;18/07/2026;22:00:00;6;13;33;45;4;6;;;Completed;Regular;288;288;25.0;1151;;DESPEJADO
104;2026-07-19T19:00:00Z;20:00:00;7;2;29;37;1;0;;;Completed;AET;52;9;39.0;735;77.1;
33;20.06.2026;15:00:00;1;10;17;19;2;1;;;Completed;Regular;185;72;31.0;442;74.9;soleado
60;26 de junio de 2026;22:00:00;1;16;22;23;1;1;;;Completed;Regular;112;95;8.0;557;130.5;Soleado
11;20260614;21:00:00;1;11;19;20;1;0;;;Completed;Regular;11;95;17.0;479;87.2;Nublado
35;20260620;21:00:00;1;14;21;23;5;1;;;Completed;Regular;345;88;29.0;531;74.6;DESPEJADO
20;2026-06-16T19:00:00Z;23:59:00;1;15;39;40;3;1;;;Completed;Regular;198;88;10.0;1023;61.0;Lluvia
10;Jun 14 2026;18:00:00;1;15;21;22;2;2;;;Completed;Regular;195;182;21.0;524;80.0;Soleado
